z_roms,diatom,nanophytoplankton,a,b
-206.98423368441186,0.0036890152784489153,0.0003372441517077798,0.01006614771242172,0.00401637896712006
-193.611351575386,0.002584249284064392,0.00028792599090788896,0.010048560307585941,0.0040118356292158
-181.65008986775635,0.0029216930234172616,0.00045292938570256665,0.010060379665913052,0.004014272939188904
-170.92591287786317,0.00339433487323827,0.000517481429984654,0.010069772389714677,0.004016520842528198
-161.2799517265365,0.003726373086112756,0.0005675507815609142,0.010076573906812698,0.004018133073198155
-152.5664244558571,0.0038348010983843906,0.0006091199428373248,0.010079879372919386,0.004018836083773722
-144.65025305112303,0.00403095349575374,0.0007139396630544754,0.010087132754451894,0.004020315200925246
-137.40489544600322,0.0043856884403748525,0.0008657907295112535,0.010098628639534233,0.004022726151180003
-130.71044704906134,0.004894374393816148,0.0010766514712500092,0.010114817254777177,0.004026135182995251
-124.45211573403695,0.005453423666914576,0.0013828308038466284,0.010135809655902208,0.004030402825561202
-118.51923625722573,0.00602986153609116,0.0017789939296675497,0.01016091480048098,0.004035366431344819
-112.80505854839923,0.006933632290646242,0.0022905552518818146,0.010195564727899965,0.004042381689467628
-107.20760237597247,0.00854962677635122,0.002958980397234823,0.010246930931950015,0.004053201444530779
-101.6318854866042,0.010902487129108407,0.0038612845085477998,0.010318670053675073,0.004068458442650446
-95.99375210150835,0.014096993282210262,0.005085477143209084,0.010416033423108933,0.004089166914474862
-90.22529234895705,0.018465206798599015,0.00676348068903419,0.010549342564808856,0.004117512150657916
-84.28140843928675,0.024983473793749576,0.009087840068759623,0.010740545756069158,0.004158552080897566
-78.14647978296172,0.03558607073425657,0.012396337613692446,0.011031247507668367,0.004222001432086022
-71.83946826364532,0.05002446455056823,0.017088777585027182,0.011435159939864124,0.004309714408387349
-65.41549347195786,0.06749816793424294,0.023846222471595815,0.011970361917358022,0.004423416595451294
-58.962246167688875,0.0959904920650158,0.03483730973921252,0.01284187120769636,0.0046086250380215485
-52.5907577785522,0.14183145134743597,0.05301158769825588,0.014265138589889106,0.004910040629008048
-46.42174003884254,0.20750758763036434,0.08074666635876208,0.01637721288025187,0.005353755497506719
-40.57025733271148,0.28124206068577884,0.11794270678123447,0.019008925241193984,0.005894318778074601
-35.13212355677119,0.3550122282584263,0.16406706611891336,0.022025055038731242,0.006497515930214413
-30.174786878699727,0.41620616598123295,0.2161900514026889,0.025123058534052882,0.007094913790547508
-25.73391813063678,0.4446551124372216,0.2685602951989982,0.027773264267678024,0.007569611493654429
-21.815223127572416,0.42683584683397463,0.315199733184572,0.02952929038261224,0.007828374350261107
-18.39985054250872,0.3699837743225509,0.3513915474762496,0.030289609381994445,0.00786567917475944
-15.451429437719609,0.2961670714250726,0.3680296648787907,0.029971614589739015,0.00770164252556681
-12.923082948259673,0.22667977160377892,0.34954500174106984,0.02820395187731891,0.007308198144281849
-10.763376668011514,0.17367568740206335,0.3003645626830137,0.025347135818998473,0.006762519550908936
-8.920765049947908,0.1503944075662977,0.2608056563965898,0.02332016493098153,0.00639713834352806
-7.346535167578351,0.13700536398232507,0.24519788196972403,0.022461584020450683,0.006237005556920904
-5.996484873875183,0.10482718460408849,0.18937458671019808,0.019610687812995756,0.005723965408466924
-4.83165414248487,0.07201765798218468,0.11667606829688223,0.016025318148516522,0.005090399578410477
-3.8184154729487094,0.06505806535677446,0.10063780769759906,0.015238238645991602,0.004951685302238936
-2.928173073654304,0.06462895049182837,0.09990083459577936,0.015200541194504109,0.004944895854039404
-2.136854156027454,0.06440752621203519,0.09958057100016164,0.015183669919975443,0.004941812596606865
-1.4243160018787315,0.06427433701578711,0.09939923202720229,0.015174007695390717,0.004940037104850407
-0.7737456907741399,0.06419396091752473,0.09928884841164597,0.015168135934546122,0.004938958990368116
-0.17109586036315988,0.06415224638681509,0.0992274631166503,0.015164912363431374,0.0049383707780864495
